"name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_C182SC277S"
"PRDX2",0.000659205077457647,0.00645201239024609,0.55225592863826,4.55606666014686,0.121213311795675,12,25.2774602530495,16.000000000001,16,"PRDX2",0,0
"PRDX6",0.0756589622193993,0.18561010341876,0.467929356681896,1.94442515178654,0.240651771168441,12,23.7276650072874,12.2066064445367,12,"PRDX6",0,0
"PRDX1",0.000705891230442957,0.00680320680768747,0.378390025820639,4.51665976074673,0.0837765175737037,12,27.613563534982,16.0000000000959,16,"PRDX1",0,0
"ATXN3",0.490920493931765,0.690593149692853,-0.0912667354127841,-0.710587190927795,0.12843847535954,12,22.0086521223834,13.976385761269,14,"ATXN3",0,0
"ATXN2L",0.923971221550826,0.958474265518677,-0.0162063077892149,-0.0974584432160369,0.166289417873116,12,24.0291506383677,16.0000000000191,16,"ATXN2L",0,0
"TXN",0.0186844543099272,0.0692057533165733,0.570479221254097,2.7177790725112,0.209906400054431,12,24.1186893273818,12.161206757649,12,"TXN",0,0
"TXNDC9",0.000505111228092057,0.00537457784143971,-0.534470781531795,-4.71052238189341,0.113463165696065,12,23.5348751901937,16.0000000017371,16,"TXNDC9",0,0
"ATXN2",0.68121687209291,0.859598310877426,-0.0606561695934751,-0.420972145629152,0.144085945408153,12,24.2437750745823,16.0000004752143,16,"ATXN2",0,0
"TXNL1",0.00943665404667682,0.0416491576966647,0.466888384348625,3.0857444090876,0.151304943783946,12,24.4870417375159,16,16,"TXNL1",0,0
"TXNDC17",0.475512947442127,0.683359079573679,-0.10739544434432,-0.736612534816983,0.145796384487271,12,26.0567716510361,16.0000005621801,16,"TXNDC17",0,0
"MDM2;MDM2 isoform KB9;mdm2",9.20604228404898e-08,1.34006117890478e-05,1.58496353879288,11.3234999048288,0.139971170761171,12,24.2520663326147,14.9187764812683,15,"MDM2;MDM2 isoform KB9;mdm2",0,0
"TP53",0.994877802990638,0.996461647313618,0.0131314885817844,0.0065547631124429,2.00335059505917,12,24.070094036956,16.0000000000602,16,"TP53",0,0
"TP53",0.265495690513792,0.445400852025358,0.187288282812716,1.16798370134509,0.160351794804181,12,26.4001333093183,14.0467542935454,15,"TP53",1,0
"TP53",1.87922096479554e-05,0.000657379333796068,1.19769482366174,6.80878840379463,0.175904250893484,12,28.1352117734457,16.0000000004384,16,"TP53",0,0
"TP53",0.309118062848421,0.496838158577199,-0.281883104006269,-1.06205447545049,0.265413037204804,12,25.0815174317251,16.0000000000913,16,"TP53",0,0
"TP53BP1",6.8113857620844e-07,5.84850350208065e-05,1.56890618826276,9.41893471802115,0.166569387646459,12,22.5765753246253,12.1051426151358,12,"TP53BP1",0,0
"TP53RK",0.265411109453607,0.445400852025358,0.158364254605523,1.16820165916852,0.13556242910855,12,24.7469903179812,16.0000001143741,16,"TP53RK",0,0
"TP53BP2",0.00728360462175462,0.0353998448994374,-0.446700619411331,-3.22521995710813,0.138502373590625,12,22.8066772898056,16.0000000000165,16,"TP53BP2",0,0
"YWHAB",0.140767345196678,0.284964716054209,0.373707442221587,1.5770514711951,0.236965913318219,12,22.7038585936926,16.0000000000001,16,"YWHAB",0,0
"YWHAG",0.013375941475303,0.054105253633506,0.646873195616294,2.89799869723977,0.223213763426607,12,24.873236861793,16.0000000000001,16,"YWHAG",0,0
"YWHAH",0.00696915111945029,0.0341940947133548,0.282057120246304,3.24901473468356,0.0868131243713103,12,26.3401878169969,16.0000000000017,16,"YWHAH",0,0
"YWHAE",3.8825300919143e-05,0.00103297173853889,1.5419866265627,6.31115254878092,0.244327262674162,12,26.8852390023472,16.0000000000008,16,"YWHAE",0,0
"YWHAZ",7.46949568863897e-09,2.93376538973433e-06,1.29824428128408,14.1647834656125,0.0916529563925777,12,26.3318192413733,16.0000000000005,16,"YWHAZ",0,0
"YWHAQ",2.79332112995689e-13,5.27658361448857e-10,2.56079410916628,33.8667332106517,0.0756138507141536,12,27.8286531982748,16.000000001759,16,"YWHAQ",0,0
"USP19",0.475673927757847,0.683359079573679,-1.45573174289827,-0.736337957101152,1.97698859451611,12,20.4707219384049,4.001,1,"USP19",3,4
"USP19",0.359742731350162,0.55976443123596,0.218084858599518,0.952280657287724,0.229013218876739,12,21.7125264472018,8.00965073508875,8,"USP19",3,3
"DUSP3",0.00369549049557572,0.0216794457954737,2.20479912585391,3.59264080971344,0.613698736565253,12,22.0108181167241,4.52024863449433,5,"DUSP3",2,4
"USP22",0.915881008576521,0.95506556015394,0.0926677086556218,0.107870529880009,0.85906418331959,12,20.8575010585018,4.001,0,"USP22",4,5
"DUSP12",0.937543755549877,0.963558299365461,0.0231237261999162,0.0800156532845705,0.288990031958849,12,22.8021043684395,12.0879878899291,13,"DUSP12",1,0
"USP15",0.035263621904859,0.104760124104277,1.34431774850777,2.37214317234,0.566710207116909,12,21.8092776078114,4.97474064156346,5,"USP15",2,5
"DUSP11",0.119664186321106,0.258633464485778,0.454467231059549,1.67555576329714,0.271233724961355,12,21.2505820323738,12.1677996040393,12,"DUSP11",0,1
"USP16",0.774001147454439,0.931266348752507,0.03811725606732,0.293705120409628,0.129780699819459,12,23.0727175781953,16.0000000002306,16,"USP16",0,0
"USP48",2.33023955193978e-05,0.000772249563791974,0.805076052968815,6.65888481072361,0.120902534861739,12,23.3817649040657,14.9932042734298,15,"USP48",0,0
"USP14",0.00131370445410346,0.0107428039558504,-0.404123320067445,-4.16387040734103,0.0970547304630237,12,25.0551608987204,16.0000000000001,16,"USP14",0,0
"USP5",0.403029372445115,0.609057987639058,0.154265616943956,0.866841497373189,0.177962888730444,12,25.0071530429584,16.0000000000034,16,"USP5",0,0
"USP7",0.549039930076212,0.743466973415028,-0.0808316713442139,-0.61656567277377,0.131099856695838,12,26.8546680271454,16.0000000013019,16,"USP7",0,0
"PSME3",2.24838531348581e-07,2.8314665714498e-05,1.17558370799143,10.4384006472829,0.112621056396934,12,25.042879106414,12.8465480717491,13,"PSME3",0,0
