"name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_C182S","n_obs_C182SC277S"
"PRDX2",0.0168158988035896,0.0884825427297513,0.33629858600607,2.77466420391934,0.121203346167451,12,25.2774602530495,16.000000000001,16,"PRDX2",0,0
"PRDX6",0.0099999781311424,0.0644708487704027,0.735359606290004,3.05454076622488,0.240743097758305,12,23.7276650072874,12.2066064445367,12,"PRDX6",0,0
"PRDX1",0.00759831963056179,0.0558990081278498,0.268285586413505,3.20242129628387,0.08377585632622,12,27.613563534982,16.0000000000959,16,"PRDX1",0,0
"ATXN3",0.764520887730909,0.934744308688471,-0.042419456336642,-0.306440839587164,0.138426250214525,12,22.0086521223834,13.976385761269,14,"ATXN3",1,0
"ATXN2L",0.0710661015536882,0.224113298555788,-0.329263725187253,-1.98030055896346,0.166269571402635,12,24.0291506383677,16.0000000000191,16,"ATXN2L",0,0
"TXN",0.0173846099327437,0.0907169286269416,0.578657905532406,2.7567163959091,0.209908391879237,12,24.1186893273818,12.161206757649,12,"TXN",0,0
"TXNDC9",0.0226763936140308,0.104732781263824,-0.296477190706337,-2.61298624500747,0.113462974125028,12,23.5348751901937,16.0000000017371,16,"TXNDC9",0,0
"ATXN2",0.0755940955295935,0.232365501423774,-0.280219345590034,-1.94491770025462,0.144077739409409,12,24.2437750745823,16.0000004752143,16,"ATXN2",0,0
"TXNL1",0.00970815059942742,0.0632368844217876,0.464578066182,3.07047912503767,0.151304746674121,12,24.4870417375159,16,16,"TXNL1",0,0
"TXNDC17",0.359524573370098,0.599419169546439,0.138922673268048,0.952729002906434,0.145815518205329,12,26.0567716510361,16.0000005621801,16,"TXNDC17",0,0
"MDM2;MDM2 isoform KB9;mdm2",3.36621979846186e-07,4.54199228521032e-05,1.40762656899697,10.0574599615,0.139958456149502,12,24.2520663326147,14.9187764812683,15,"MDM2;MDM2 isoform KB9;mdm2",0,0
"TP53",0.999592637842161,0.999612380747631,-0.00104290283126218,-0.000521288395969438,2.00062544903326,12,24.070094036956,16.0000000000602,16,"TP53",0,0
"TP53",0.125043903690526,0.314106295307717,0.24565943368323,1.64907984633365,0.148967579847269,12,26.4001333093183,14.0467542935454,15,"TP53",0,0
"TP53",1.41416947152528e-05,0.000809504888397352,1.2331206417012,7.01012318614108,0.175905702219194,12,28.1352117734457,16.0000000004384,16,"TP53",0,0
"TP53",0.769627359710081,0.936743609853314,0.0795633529050761,0.299574339901333,0.265588010412643,12,25.0815174317251,16.0000000000913,16,"TP53",0,0
"TP53BP1",6.32645396381193e-06,0.000459641212986182,1.2659841402789,7.6005866373756,0.166564003632755,12,22.5765753246253,12.1051426151358,12,"TP53BP1",0,0
"TP53RK",0.8953826908715,0.971113257675584,-0.0182062112211021,-0.134311432557969,0.135552207837887,12,24.7469903179812,16.0000001143741,16,"TP53RK",0,0
"TP53BP2",0.0119146021015211,0.0711527336840804,-0.409999802879451,-2.96027317319253,0.138500664936028,12,22.8066772898056,16.0000000000165,16,"TP53BP2",0,0
"YWHAB",0.564731805603956,0.77414976834969,-0.140348998438277,-0.592163930725244,0.237010380328952,12,22.7038585936926,16.0000000000001,16,"YWHAB",0,0
"YWHAG",0.00189615501453355,0.0215773302557463,0.884016735013105,3.95917194806434,0.223283238669466,12,24.873236861793,16.0000000000001,16,"YWHAG",0,0
"YWHAH",0.961307338590088,0.980854517470905,-0.00430014264606626,-0.0495357020717538,0.0868089573018949,12,26.3401878169969,16.0000000000017,16,"YWHAH",0,0
"YWHAE",0.000276446040835987,0.00678190352128804,1.23782670161863,5.06727240884227,0.244278697047873,12,26.8852390023472,16.0000000000008,16,"YWHAE",0,0
"YWHAZ",1.3370790896694e-07,2.5257424003855e-05,1.00321663857093,10.9462776644616,0.0916491129973793,12,26.3318192413733,16.0000000000005,16,"YWHAZ",0,0
"YWHAQ",1.89848137210902e-13,3.58623131191393e-10,2.64523906505409,34.9834747780213,0.0756139600722563,12,27.8286531982748,16.000000001759,16,"YWHAQ",0,0
"PSME3",1.68533125233239e-08,7.95897683913971e-06,1.4847984981637,13.1828333767145,0.112631211799004,12,25.042879106414,12.8465480717491,13,"PSME3",0,0
